Date,Open,High,Low,Close,Adj Close,Volume
2022-02-10,7141.689941,7169.629883,7051.600098,7101.549805,7101.549805,86508200
2022-02-11,7025.500000,7071.009766,6992.089844,7011.600098,7011.600098,82859100
2022-02-14,6868.069824,6875.310059,6757.330078,6852.200195,6852.200195,117972900
2022-02-15,6830.740234,6983.140137,6823.450195,6979.970215,6979.970215,92474100
2022-02-16,7009.689941,7031.930176,6931.089844,6964.979980,6964.979980,74789000
2022-02-17,6999.129883,7017.069824,6905.689941,6946.819824,6946.819824,90183200
2022-02-18,6951.830078,6995.620117,6895.089844,6929.629883,6929.629883,87348900
2022-02-21,6984.310059,6986.830078,6744.129883,6788.339844,6788.339844,0
2022-02-22,6633.740234,6834.770020,6633.740234,6787.600098,6787.600098,101457400
2022-02-23,6801.660156,6904.810059,6768.379883,6780.669922,6780.669922,86393600
2022-02-24,6496.250000,6617.089844,6432.890137,6521.049805,6521.049805,207949400
2022-02-25,6571.950195,6762.779785,6521.560059,6752.430176,6752.430176,152427400
2022-02-28,6620.479980,6684.540039,6516.160156,6658.830078,6658.830078,171929700
2022-03-01,6646.160156,6662.250000,6396.490234,6396.490234,6396.490234,171611200
2022-03-02,6359.979980,6544.149902,6312.299805,6498.020020,6498.020020,169994900
2022-03-03,6488.250000,6543.770020,6361.600098,6378.370117,6378.370117,132457000
2022-03-04,6308.339844,6321.089844,6061.660156,6061.660156,6061.660156,180586100
2022-03-07,5887.830078,6115.229980,5756.379883,5982.270020,5982.270020,243010200
2022-03-08,5906.620117,6169.600098,5903.100098,5962.959961,5962.959961,168209400
2022-03-09,6131.279785,6387.830078,6122.799805,6387.830078,6387.830078,189777300
2022-03-10,6376.569824,6380.770020,6166.109863,6207.200195,6207.200195,148747200
2022-03-11,6233.120117,6466.120117,6165.410156,6260.250000,6260.250000,136389500
2022-03-14,6298.959961,6421.080078,6271.819824,6369.939941,6369.939941,113227400
2022-03-15,6294.720215,6383.750000,6206.049805,6355.000000,6355.000000,102702800
2022-03-16,6484.330078,6680.000000,6481.700195,6588.640137,6588.640137,145251100
2022-03-17,6617.229980,6635.310059,6530.790039,6612.520020,6612.520020,100583800
2022-03-18,6613.950195,6620.240234,6499.589844,6620.240234,6620.240234,191790200
2022-03-21,6608.790039,6642.459961,6574.069824,6582.330078,6582.330078,78342900
2022-03-22,6586.649902,6666.839844,6578.910156,6659.410156,6659.410156,79017900
2022-03-23,6674.680176,6684.700195,6559.310059,6581.430176,6581.430176,76824400
2022-03-24,6593.149902,6636.580078,6541.319824,6555.770020,6555.770020,82199900
2022-03-25,6569.450195,6615.899902,6538.799805,6553.680176,6553.680176,73936900
2022-03-28,6578.720215,6683.700195,6572.009766,6589.109863,6589.109863,78385700
2022-03-29,6675.149902,6829.399902,6658.779785,6792.160156,6792.160156,110146300
2022-03-30,6771.089844,6771.089844,6705.689941,6741.589844,6741.589844,80090300
2022-03-31,6759.419922,6776.129883,6658.740234,6659.870117,6659.870117,81436400
2022-04-01,6672.979980,6708.560059,6635.270020,6684.310059,6684.310059,65149500
2022-04-04,6709.600098,6745.220215,6641.609863,6731.370117,6731.370117,65186300
2022-04-05,6731.339844,6743.620117,6603.439941,6645.509766,6645.509766,103817600
2022-04-06,6634.830078,6643.750000,6442.439941,6498.830078,6498.830078,104806100
2022-04-07,6530.819824,6582.339844,6451.100098,6461.680176,6461.680176,94476400
2022-04-08,6540.200195,6581.560059,6494.629883,6548.220215,6548.220215,91669300
2022-04-11,6558.529785,6614.959961,6502.140137,6555.810059,6555.810059,87321100
2022-04-12,6454.250000,6570.750000,6424.970215,6537.410156,6537.410156,84720600
2022-04-13,6519.160156,6563.959961,6478.450195,6542.140137,6542.140137,72469400
2022-04-14,6557.660156,6607.549805,6541.899902,6589.350098,6589.350098,79048700
2022-04-19,6545.970215,6566.799805,6494.330078,6534.790039,6534.790039,0
2022-04-20,6557.959961,6636.549805,6542.209961,6624.910156,6624.910156,87010800
2022-04-21,6642.709961,6757.750000,6636.790039,6715.100098,6715.100098,88762200
2022-04-22,6618.689941,6654.640137,6572.870117,6581.419922,6581.419922,83469100
2022-04-25,6450.899902,6512.259766,6408.709961,6449.379883,6449.379883,94933200
2022-04-26,6520.009766,6535.919922,6412.490234,6414.569824,6414.569824,95230800
2022-04-27,6427.399902,6474.959961,6338.609863,6445.259766,6445.259766,92040000
2022-04-28,6520.529785,6575.950195,6435.750000,6508.140137,6508.140137,76048900
2022-04-29,6557.660156,6601.149902,6514.100098,6533.770020,6533.770020,83799400
2022-05-02,6469.310059,6474.810059,6308.470215,6425.609863,6425.609863,87523700
2022-05-03,6463.729980,6507.129883,6423.029785,6476.180176,6476.180176,83360000
2022-05-04,6482.259766,6494.990234,6395.680176,6395.680176,6395.680176,72296900
2022-05-05,6549.490234,6558.910156,6350.660156,6368.399902,6368.399902,96424000
2022-05-06,6318.660156,6322.430176,6213.640137,6258.359863,6258.359863,113118300
2022-05-09,6207.149902,6260.850098,6086.020020,6086.020020,6086.020020,91595000
2022-05-10,6151.520020,6206.560059,6116.910156,6116.910156,6116.910156,90242000
2022-05-11,6173.100098,6269.729980,6137.240234,6269.729980,6269.729980,106223700
2022-05-12,6130.689941,6238.250000,6098.220215,6206.259766,6206.259766,105839000
2022-05-13,6250.160156,6363.240234,6238.790039,6362.680176,6362.680176,85955800
2022-05-16,6315.680176,6369.049805,6286.020020,6347.770020,6347.770020,75092100
2022-05-17,6379.339844,6448.330078,6373.729980,6430.189941,6430.189941,86952900
2022-05-18,6440.299805,6455.799805,6342.669922,6352.939941,6352.939941,80314700
2022-05-19,6279.689941,6288.990234,6196.189941,6272.709961,6272.709961,86227400
2022-05-20,6305.459961,6377.580078,6264.839844,6285.240234,6285.240234,92863400
2022-05-23,6350.879883,6358.740234,6263.959961,6358.740234,6358.740234,82641900
2022-05-24,6282.319824,6322.740234,6243.839844,6253.140137,6253.140137,72012900
2022-05-25,6296.279785,6319.290039,6229.839844,6298.640137,6298.640137,75143000
2022-05-26,6301.490234,6424.879883,6298.450195,6410.580078,6410.580078,66120600
2022-05-27,6445.250000,6519.729980,6424.850098,6515.750000,6515.750000,70892100
2022-05-30,6547.859863,6582.049805,6536.770020,6562.390137,6562.390137,69803300
2022-05-31,6539.859863,6543.419922,6457.529785,6468.799805,6468.799805,162340000
2022-06-01,6509.189941,6510.259766,6414.220215,6418.890137,6418.890137,74750900
2022-06-02,6447.370117,6506.600098,6447.299805,6500.439941,6500.439941,57959900
2022-06-03,6545.000000,6547.819824,6473.740234,6485.299805,6485.299805,48236300
2022-06-06,6533.819824,6593.149902,6533.819824,6548.779785,6548.779785,60142400
2022-06-07,6523.160156,6523.600098,6459.919922,6500.350098,6500.350098,66096000
2022-06-08,6517.549805,6517.549805,6413.870117,6448.629883,6448.629883,73239600
2022-06-09,6412.580078,6456.910156,6342.990234,6358.459961,6358.459961,72804300
2022-06-10,6316.410156,6325.890137,6177.310059,6187.229980,6187.229980,103756400
2022-06-13,6088.049805,6122.259766,6006.279785,6022.319824,6022.319824,106541000
2022-06-14,6063.799805,6075.370117,5934.120117,5949.839844,5949.839844,85949300
2022-06-15,6022.839844,6062.620117,5972.310059,6030.129883,6030.129883,93774600
2022-06-16,6003.660156,6018.100098,5872.200195,5886.240234,5886.240234,99480100
2022-06-17,5906.859863,5974.060059,5870.640137,5882.649902,5882.649902,181205900
2022-06-20,5901.580078,5920.089844,5855.930176,5920.089844,5920.089844,65998500
2022-06-21,5943.520020,6032.240234,5943.080078,5964.660156,5964.660156,63109500
2022-06-22,5879.089844,5938.459961,5834.459961,5916.629883,5916.629883,87617200
2022-06-23,5880.299805,5957.129883,5830.870117,5883.330078,5883.330078,89899600
2022-06-24,5918.259766,6085.990234,5914.669922,6073.350098,6073.350098,85414200
2022-06-27,6105.200195,6156.600098,6030.609863,6047.310059,6047.310059,66242800
2022-06-28,6099.149902,6141.939941,6077.950195,6086.020020,6086.020020,64300400
2022-06-29,6021.689941,6071.910156,5995.750000,6031.479980,6031.479980,0
2022-06-30,5926.740234,5931.549805,5852.299805,5922.859863,5922.859863,115328200
2022-07-01,5875.600098,5975.830078,5857.339844,5931.060059,5931.060059,72811500
2022-07-04,5983.979980,6002.069824,5943.910156,5954.649902,5954.649902,54436800
2022-07-05,5979.200195,5981.509766,5786.500000,5794.959961,5794.959961,104293700
2022-07-06,5872.270020,5927.500000,5846.100098,5912.379883,5912.379883,89619400
2022-07-07,5985.089844,6024.310059,5967.979980,6006.700195,6006.700195,94857900
2022-07-08,6007.640137,6053.169922,5952.890137,6033.129883,6033.129883,76855400
2022-07-11,5923.830078,6004.520020,5909.729980,5996.299805,5996.299805,59496400
2022-07-12,5960.089844,6053.330078,5930.979980,6044.200195,6044.200195,71122100
2022-07-13,6015.529785,6025.729980,5922.939941,6000.240234,6000.240234,70802000
2022-07-14,5979.990234,5997.310059,5874.680176,5915.410156,5915.410156,72944000
2022-07-15,5935.279785,6043.799805,5901.379883,6036.000000,6036.000000,76205700
2022-07-18,6070.209961,6136.020020,6059.870117,6091.910156,6091.910156,59881400
2022-07-19,6031.600098,6213.879883,6028.790039,6201.220215,6201.220215,74716500
2022-07-20,6229.790039,6245.470215,6151.359863,6184.660156,6184.660156,76814600
2022-07-21,6160.370117,6233.979980,6143.060059,6201.109863,6201.109863,78627800
2022-07-22,6174.290039,6247.350098,6168.770020,6216.819824,6216.819824,68727100
2022-07-25,6198.830078,6260.129883,6177.140137,6237.549805,6237.549805,60387200
2022-07-26,6225.169922,6243.859863,6194.959961,6211.450195,6211.450195,60556300
2022-07-27,6206.250000,6267.799805,6199.930176,6257.939941,6257.939941,69640600
2022-07-28,6304.129883,6339.209961,6236.569824,6339.209961,6339.209961,92169500
2022-07-29,6413.100098,6472.270020,6397.910156,6448.500000,6448.500000,103116600
2022-08-01,6447.180176,6484.080078,6434.120117,6436.859863,6436.859863,64439900
2022-08-02,6424.680176,6429.049805,6381.430176,6409.799805,6409.799805,66079400
2022-08-03,6404.100098,6475.540039,6398.990234,6472.060059,6472.060059,78438000
2022-08-04,6476.720215,6555.709961,6475.049805,6513.390137,6513.390137,75071500
2022-08-05,6512.620117,6523.029785,6449.720215,6472.350098,6472.350098,71657900
2022-08-08,6510.450195,6564.240234,6503.270020,6524.439941,6524.439941,57501500
2022-08-09,6514.520020,6530.350098,6480.060059,6490.000000,6490.000000,60132500
2022-08-10,6467.100098,6545.640137,6453.790039,6523.439941,6523.439941,67978700
2022-08-11,6560.209961,6562.319824,6499.629883,6544.669922,6544.669922,63494500
2022-08-12,6553.240234,6587.839844,6539.750000,6553.859863,6553.859863,59404000
2022-08-15,6582.629883,6586.959961,6532.479980,6569.950195,6569.950195,41045400
2022-08-16,6580.990234,6608.830078,6568.580078,6592.580078,6592.580078,56347800
2022-08-17,6608.640137,6608.640137,6517.990234,6528.319824,6528.319824,62910000
2022-08-18,6530.580078,6576.370117,6519.569824,6557.399902,6557.399902,52233900
2022-08-19,6520.439941,6549.129883,6488.000000,6495.830078,6495.830078,65894600
2022-08-22,6448.810059,6459.359863,6352.970215,6378.740234,6378.740234,78589600
2022-08-23,6331.169922,6402.220215,6331.169922,6362.020020,6362.020020,60089800
2022-08-24,6332.430176,6396.629883,6319.700195,6386.759766,6386.759766,52703400
2022-08-25,6432.160156,6440.689941,6361.529785,6381.560059,6381.560059,49495300
2022-08-26,6420.750000,6429.790039,6252.589844,6274.259766,6274.259766,67384400
2022-08-29,6199.109863,6232.250000,6153.439941,6222.279785,6222.279785,54873600
2022-08-30,6243.080078,6303.660156,6182.629883,6210.220215,6210.220215,65574600
2022-08-31,6226.990234,6230.899902,6125.100098,6125.100098,6125.100098,109610300
2022-09-01,6068.339844,6072.930176,6009.089844,6034.310059,6034.310059,74056000
2022-09-02,6075.729980,6178.290039,6051.020020,6167.509766,6167.509766,76451600
2022-09-05,6048.220215,6105.589844,6018.020020,6093.220215,6093.220215,65693400
2022-09-06,6083.020020,6138.220215,6060.439941,6104.609863,6104.609863,54762700
2022-09-07,6059.640137,6119.950195,6045.270020,6105.919922,6105.919922,71611100
2022-09-08,6136.930176,6143.290039,6034.790039,6125.899902,6125.899902,75081400
2022-09-09,6140.870117,6239.109863,6138.879883,6212.330078,6212.330078,72211000
2022-09-12,6242.459961,6352.450195,6224.509766,6333.589844,6333.589844,77476100
2022-09-13,6360.310059,6394.180176,6245.689941,6245.689941,6245.689941,79001400
2022-09-14,6210.770020,6249.290039,6183.549805,6222.410156,6222.410156,75468700
2022-09-15,6212.209961,6249.520020,6143.359863,6157.839844,6157.839844,74835300
